year,quarter,sector,country,value
2010,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Brunei Darussalam,-
2010,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Filipina,-
2010,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Kamboja,-
2010,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Laos,-
2010,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Malaysia,-
2010,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Myanmar,-
2010,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Singapura,-
2010,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Thailand,-
2010,Q1,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Vietnam,-
2010,Q1,Kesehatan dan Pekerjaan Sosial,Brunei Darussalam,-
2010,Q1,Kesehatan dan Pekerjaan Sosial,Filipina,-
2010,Q1,Kesehatan dan Pekerjaan Sosial,Kamboja,-
2010,Q1,Kesehatan dan Pekerjaan Sosial,Laos,-
2010,Q1,Kesehatan dan Pekerjaan Sosial,Malaysia,-
2010,Q1,Kesehatan dan Pekerjaan Sosial,Myanmar,-
2010,Q1,Kesehatan dan Pekerjaan Sosial,Singapura,-
2010,Q1,Kesehatan dan Pekerjaan Sosial,Thailand,-
2010,Q1,Kesehatan dan Pekerjaan Sosial,Vietnam,-
2010,Q1,Lainnya,Brunei Darussalam,-
2010,Q1,Lainnya,Filipina,13
2010,Q1,Lainnya,Kamboja,-
2010,Q1,Lainnya,Laos,-
2010,Q1,Lainnya,Malaysia,-1
2010,Q1,Lainnya,Myanmar,-
2010,Q1,Lainnya,Singapura,9
2010,Q1,Lainnya,Thailand,-
2010,Q1,Lainnya,Vietnam,-
2010,Q1,Pendidikan,Brunei Darussalam,-
2010,Q1,Pendidikan,Filipina,-
2010,Q1,Pendidikan,Kamboja,-
2010,Q1,Pendidikan,Laos,-
2010,Q1,Pendidikan,Malaysia,-
2010,Q1,Pendidikan,Myanmar,-
2010,Q1,Pendidikan,Singapura,-
2010,Q1,Pendidikan,Thailand,-
2010,Q1,Pendidikan,Vietnam,-
2010,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Brunei Darussalam,-
2010,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Filipina,-
2010,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Kamboja,-
2010,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Laos,-
2010,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Malaysia,-
2010,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Myanmar,-
2010,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Singapura,-
2010,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Thailand,-
2010,Q2,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Vietnam,-
2010,Q2,Kesehatan dan Pekerjaan Sosial,Brunei Darussalam,-
2010,Q2,Kesehatan dan Pekerjaan Sosial,Filipina,-
2010,Q2,Kesehatan dan Pekerjaan Sosial,Kamboja,-
2010,Q2,Kesehatan dan Pekerjaan Sosial,Laos,-
2010,Q2,Kesehatan dan Pekerjaan Sosial,Malaysia,-
2010,Q2,Kesehatan dan Pekerjaan Sosial,Myanmar,-
2010,Q2,Kesehatan dan Pekerjaan Sosial,Singapura,-
2010,Q2,Kesehatan dan Pekerjaan Sosial,Thailand,-
2010,Q2,Kesehatan dan Pekerjaan Sosial,Vietnam,-
2010,Q2,Lainnya,Brunei Darussalam,-
2010,Q2,Lainnya,Filipina,13
2010,Q2,Lainnya,Kamboja,-
2010,Q2,Lainnya,Laos,-
2010,Q2,Lainnya,Malaysia,-1
2010,Q2,Lainnya,Myanmar,-
2010,Q2,Lainnya,Singapura,14
2010,Q2,Lainnya,Thailand,-
2010,Q2,Lainnya,Vietnam,-
2010,Q2,Pendidikan,Brunei Darussalam,-
2010,Q2,Pendidikan,Filipina,-
2010,Q2,Pendidikan,Kamboja,-
2010,Q2,Pendidikan,Laos,-
2010,Q2,Pendidikan,Malaysia,-
2010,Q2,Pendidikan,Myanmar,-
2010,Q2,Pendidikan,Singapura,-
2010,Q2,Pendidikan,Thailand,-
2010,Q2,Pendidikan,Vietnam,-
2010,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Brunei Darussalam,-
2010,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Filipina,-
2010,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Kamboja,-
2010,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Laos,-
2010,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Malaysia,-
2010,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Myanmar,-
2010,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Singapura,-
2010,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Thailand,-
2010,Q3,Jasa Kemasyarakatan. Sosial. dan Perseorangan Lainnya,Vietnam,-
