EmployeeID,Age,LengthOfService,Retired,DistanceFromHome,EngagementScore,SatisfactionScore,SalaryLastYear,SalaryThisYear,SalaryHikeSinceLastYear
1,56,28.0,False,21.4,4.4,2.2,85080000.0,94620000.0,0.1121
2,46,17.2,False,1.5,1.9,3.0,116260000.0,118470000.0,0.019
3,32,8.5,False,24.0,2.5,4.2,199320000.0,207310000.0,0.0401
4,25,17.2,False,33.1,4.2,4.0,105420000.0,114140000.0,0.0827
5,38,5.4,False,5.9,4.3,3.6,166890000.0,173770000.0,0.0412
6,56,6.7,False,14.4,2.5,1.6,97770000.0,114910000.0,0.1753
7,36,18.9,False,19.9,2.8,3.2,163350000.0,168520000.0,0.0316
8,40,15.9,False,46.0,2.2,1.3,127170000.0,138760000.0,0.0911
9,28,34.8,False,49.7,4.7,2.5,179590000.0,201350000.0,0.1212
10,28,13.8,False,2.2,1.5,2.7,93970000.0,106970000.0,0.1383
11,41,22.1,False,38.1,4.7,1.2,128770000.0,138640000.0,0.0766
12,53,24.0,False,18.6,3.7,2.1,133400000.0,156590000.0,0.1738
13,41,0.5,False,19.6,3.1,4.8,95130000.0,105940000.0,0.1136
14,20,25.2,False,37.7,1.1,4.8,45980000.0,50020000.0,0.0879
15,39,6.8,False,45.9,2.9,2.4,36840000.0,37340000.0,0.0136
16,19,36.5,False,47.5,2.6,1.2,23000000.0,25140000.0,0.093
17,41,5.6,False,28.9,1.6,1.7,177240000.0,206330000.0,0.1641
18,47,15.8,False,17.9,3.6,2.6,62570000.0,70260000.0,0.1229
19,55,3.2,False,39.4,4.9,4.8,58070000.0,67730000.0,0.1664
20,19,37.9,False,12.6,3.2,1.6,152490000.0,167560000.0,0.0988
21,38,19.1,False,28.2,3.9,4.1,77600000.0,79440000.0,0.0237
22,50,22.6,False,17.9,1.3,1.4,111090000.0,111390000.0,0.0027
23,29,2.5,False,32.8,2.7,4.9,49250000.0,52240000.0,0.0607
24,39,28.5,False,12.0,1.5,2.5,192750000.0,219660000.0,0.1396
25,42,8.0,False,9.6,3.5,4.1,173280000.0,200670000.0,0.1581
26,44,34.1,False,45.9,4.8,2.4,175480000.0,185860000.0,0.0592
27,45,7.8,False,5.1,3.6,3.5,93220000.0,102460000.0,0.0991
28,33,7.2,False,25.3,1.3,1.8,157230000.0,170470000.0,0.0842
29,32,1.4,False,11.0,2.4,1.6,45900000.0,49670000.0,0.0821
30,20,17.9,False,1.9,3.2,4.8,21550000.0,22550000.0,0.0464
31,54,21.5,False,1.8,2.6,4.7,23600000.0,24240000.0,0.0271
32,24,2.5,False,8.8,4.3,4.5,125590000.0,130530000.0,0.0393
33,38,29.5,False,43.3,4.3,3.5,101970000.0,103100000.0,0.0111
34,26,17.2,False,14.1,3.4,4.2,113240000.0,117730000.0,0.0397
35,56,19.9,False,47.5,2.5,1.3,21340000.0,21380000.0,0.0019
36,35,16.7,False,29.1,2.0,2.3,96080000.0,108130000.0,0.1254
37,21,15.2,False,21.8,1.4,2.3,149250000.0,158690000.0,0.0632
38,42,21.3,False,29.0,2.4,3.5,99680000.0,119080000.0,0.1946
39,31,5.9,True,25.8,2.7,2.4,151800000.0,157680000.0,0.0387
40,26,6.9,False,37.9,3.7,1.6,61940000.0,66220000.0,0.0691
41,43,32.7,False,14.1,3.6,3.4,166370000.0,178280000.0,0.0716
42,19,36.0,False,17.7,1.3,4.3,125920000.0,126130000.0,0.0017
43,37,14.2,False,44.7,2.6,2.5,57940000.0,67660000.0,0.1678
44,45,10.3,False,47.3,1.7,1.5,62610000.0,63010000.0,0.0064
45,24,24.5,False,44.6,1.6,1.8,133050000.0,158070000.0,0.188
46,25,15.5,False,21.0,4.3,1.9,169390000.0,199610000.0,0.1784
47,52,1.0,False,39.0,1.2,2.2,94810000.0,104960000.0,0.1071
48,31,5.9,False,23.8,2.7,3.6,66490000.0,73720000.0,0.1087
49,34,27.2,False,24.9,1.7,3.4,176060000.0,199080000.0,0.1308
50,53,25.0,False,10.2,4.5,3.8,140470000.0,151340000.0,0.0774
51,21,1.0,False,29.6,3.2,2.5,100660000.0,113690000.0,0.1294
52,19,8.4,False,9.3,1.9,4.3,107820000.0,108790000.0,0.009
53,23,8.8,False,16.6,3.0,1.8,56770000.0,57380000.0,0.0107
54,21,25.5,False,42.8,3.9,2.9,132820000.0,144970000.0,0.0915
55,46,0.7,False,10.4,4.8,4.2,84570000.0,93870000.0,0.11
56,35,4.0,False,3.6,1.9,1.7,199220000.0,234590000.0,0.1775
57,43,30.4,False,3.5,4.5,1.4,106430000.0,108660000.0,0.021
